ID_RESERVA,LLEGADA,SALIDA,NOCHES,PAX,VALOR_RESERVA,NOMBRE_HABITACION,CANAL,MERCADO,AGENCIA,NOMBRE_HOTEL_REAL,COMPLEJO_REAL,PROBABILIDAD_CANCELACION,HOTEL_COMPLEJO,CLIENTE_NOMBRE,CLIENTE_EMAIL,SEGMENTO,FIDELIDAD,FUENTE_NEGOCIO,FECHA_CREACION,ESTADO
705056310701,2026-03-10,2026-03-17,7,2,2240,PC JUNIOR SUITE GV,WEBPROPIA,ESPAÑA,Cliente Directo,Grand Palladium Punta Cana Resort &amp; Spa,Complejo Punta Cana,0.5618230050562577,WEB_DIRECT,q,q@q.es,BAR,Sin programa,DIRECT SALES,2026-02-08 00:07:16,Confirmada
705056710701,2026-03-10,2026-03-17,7,2,2240,BAV SUPERIOR JS GV,WEBPROPIA,ESPAÑA,Cliente Directo,Grand Palladium Select Bavaro,Complejo Punta Cana,0.6647695274819686,WEB_DIRECT,q,q@q.es,BAR,Sin programa,DIRECT SALES,2026-02-08 00:07:51,Confirmada
705057410701,2026-03-10,2026-03-17,7,2,2240,BAV SUPERIOR JS GV,WEBPROPIA,ESPAÑA,Cliente Directo,Grand Palladium Select Bavaro,Complejo Punta Cana,0.6647695274819686,WEB_DIRECT,q,q@q.es,BAR,Sin programa,DIRECT SALES,2026-02-08 00:09:10,Confirmada
705060410701,2026-03-10,2026-03-17,7,2,5320,TRS JUNIOR SUITE PS,WEBPROPIA,ESPAÑA,Cliente Directo,TRS Turquesa Hotel,Complejo Punta Cana,0.5848343330888084,WEB_DIRECT,qq,qq@q.es,BAR,Sin programa,DIRECT SALES,2026-02-08 00:14:07,Confirmada
705433109601,2026-03-10,2026-03-17,7,2,2240,TRSC JUNIOR SUITE GV,WEBPROPIA,ESPAÑA,Cliente Directo,TRS Coral Hotel,Complejo Costa Mujeres,0.398532336301819,WEB_DIRECT,www,www,BAR,Sin programa,DIRECT SALES,2026-02-08 10:35:14,Confirmada
705435709601,2026-03-10,2026-03-17,7,2,2240,TRSC JUNIOR SUITE GV,WEBPROPIA,ESPAÑA,Cliente Directo,TRS Coral Hotel,Complejo Costa Mujeres,0.398532336301819,WEB_DIRECT,222,222,BAR,Sin programa,DIRECT SALES,2026-02-08 10:39:36,Confirmada
705568509601,2026-03-10,2026-03-17,7,2,2520,CMU JUNIOR SUITE GV,WEBPROPIA,ESPAÑA,Cliente Directo,Grand Palladium Select Costa Mujeres,Complejo Costa Mujeres,0.39988120648479974,WEB_DIRECT,ASDASD,659264309601,Loyalty,Palladium Rewards,DIRECT SALES,2026-02-08 14:20:58,Confirmada
705572309601,2026-03-10,2026-03-17,7,2,2520,CMU JUNIOR SUITE GV,WEBPROPIA,ESPAÑA,Cliente Directo,Grand Palladium Select Costa Mujeres,Complejo Costa Mujeres,0.39988120648479974,WEB_DIRECT,ASDASD,659264309601,Loyalty,Palladium Rewards,DIRECT SALES,2026-02-08 14:27:17,Confirmada
705572509601,2026-03-10,2026-03-17,7,2,2520,CMU JUNIOR SUITE GV,WEBPROPIA,ESPAÑA,Cliente Directo,Grand Palladium Select Costa Mujeres,Complejo Costa Mujeres,0.5132096872317654,WEB_DIRECT,AAA,AAA,BAR,Sin programa,DIRECT SALES,2026-02-08 14:27:38,Confirmada
705573909601,2026-03-10,2026-03-17,7,2,2520,CMU JUNIOR SUITE GV,WEBPROPIA,ESPAÑA,Cliente Directo,Grand Palladium Select Costa Mujeres,Complejo Costa Mujeres,0.5132096872317654,WEB_DIRECT,AA,AA,BAR,Sin programa,DIRECT SALES,2026-02-08 14:29:52,Confirmada
705582709601,2026-03-10,2026-03-17,7,2,2520,CMU JUNIOR SUITE GV,WEBPROPIA,ESPAÑA,Cliente Directo,Grand Palladium Select Costa Mujeres,Complejo Costa Mujeres,0.5132096872317654,WEB_DIRECT,A,AA,BAR,Sin programa,DIRECT SALES,2026-02-08 14:44:36,Confirmada
705585209601,2026-03-10,2026-03-17,7,2,2520,CMU JUNIOR SUITE GV,WEBPROPIA,ESPAÑA,Cliente Directo,Grand Palladium Select Costa Mujeres,Complejo Costa Mujeres,0.0,WEB_DIRECT,AA,AA,BAR,Sin programa,DIRECT SALES,2026-02-08 14:48:49,Confirmada
705585609601,2026-03-10,2026-03-17,7,2,2520,CMU JUNIOR SUITE GV,WEBPROPIA,ESPAÑA,Cliente Directo,Grand Palladium Select Costa Mujeres,Complejo Costa Mujeres,0.0,WEB_DIRECT,AA,AA,BAR,Sin programa,DIRECT SALES,2026-02-08 14:49:25,Confirmada
705591109601,2026-03-10,2026-03-17,7,2,2240,TRSC JUNIOR SUITE GV,WEBPROPIA,ESPAÑA,Cliente Directo,TRS Coral Hotel,Complejo Costa Mujeres,0.0,WEB_DIRECT,aaa,aaaa,BAR,Sin programa,DIRECT SALES,2026-02-08 14:58:38,Confirmada
705591309601,2026-03-10,2026-03-17,7,2,2240,TRSC JUNIOR SUITE GV,WEBPROPIA,ESPAÑA,Cliente Directo,TRS Coral Hotel,Complejo Costa Mujeres,0.0,WEB_DIRECT,aaa,aaaa,BAR,Sin programa,DIRECT SALES,2026-02-08 14:58:56,Confirmada
705592209601,2026-03-10,2026-03-17,7,2,2520,CMU JUNIOR SUITE GV,WEBPROPIA,ESPAÑA,Cliente Directo,Grand Palladium Select Costa Mujeres,Complejo Costa Mujeres,0.5132096872317654,WEB_DIRECT,aaaaa,aaaa,BAR,Sin programa,DIRECT SALES,2026-02-08 15:00:29,Confirmada
